,channelTitle,publishingYear,pop_unpop,num_videos,average_duration_mins
106,Theme Park Worldwide,2021,0,236,26.627189265536725
107,Theme Park Worldwide,2022,0,356,26.91367041198502
108,Theme Park Worldwide,2023,0,358,29.134264432029795
109,Travel with AK,2021,0,16,12.7
110,Travel with AK,2022,0,66,12.737626262626263
111,Travel with AK,2023,0,82,21.556910569105693
112,WanderDa,2018,0,1,1.1166666666666667
113,WanderDa,2016,0,7,2.0428571428571427
114,WanderDa,2017,0,5,2.9133333333333336
115,WanderDa,2019,0,1,3.7
116,WanderDa,2023,0,106,6.183018867924528
117,WanderDa,2020,0,15,7.4655555555555555
118,WanderDa,2022,0,27,7.7024691358024695
119,WanderDa,2021,0,8,20.45
120,Wolters World,2023,1,168,10.122123015873017
121,Wolters World,2018,1,151,13.085209713024282
122,Wolters World,2022,1,140,13.675357142857143
123,Wolters World,2019,1,127,19.274803149606296
124,Wolters World,2021,1,147,21.63503401360544
125,Wolters World,2020,1,166,44.24176706827309
126,alanxelmundo,2013,1,71,7.026056338028169
127,alanxelmundo,2011,1,37,7.248198198198198
128,alanxelmundo,2012,1,22,7.696212121212121
129,alanxelmundo,2010,1,17,8.73921568627451
130,alanxelmundo,2014,1,86,9.449806201550388
131,alanxelmundo,2022,1,39,9.631623931623931
132,alanxelmundo,2017,1,120,12.920416666666666
133,alanxelmundo,2016,1,129,13.142118863049095
134,alanxelmundo,2015,1,117,13.47037037037037
135,alanxelmundo,2021,1,57,14.193859649122807
136,alanxelmundo,2019,1,38,14.762719298245615
137,alanxelmundo,2018,1,75,16.115333333333332
138,alanxelmundo,2023,1,16,16.885416666666668
139,alanxelmundo,2020,1,27,17.511728395061727
140,bald and bankrupt,2018,1,97,9.38144329896907
141,bald and bankrupt,2019,1,81,14.0820987654321
142,bald and bankrupt,2020,1,29,17.74655172413793
143,bald and bankrupt,2021,1,14,27.492857142857144
144,bald and bankrupt,2022,1,12,41.43472222222223
145,bald and bankrupt,2023,1,13,42.87692307692308
146,wocomoTRAVEL,2015,0,46,19.77536231884058
147,wocomoTRAVEL,2014,0,4,24.0
148,wocomoTRAVEL,2019,0,70,33.881904761904764
149,wocomoTRAVEL,2017,0,257,34.66517509727626
150,wocomoTRAVEL,2020,0,55,36.36757575757576
151,wocomoTRAVEL,2023,0,61,37.47267759562841
152,wocomoTRAVEL,2018,0,114,39.435818713450296
153,wocomoTRAVEL,2016,0,56,44.55327380952381
154,wocomoTRAVEL,2021,0,76,45.867763157894736
155,wocomoTRAVEL,2022,0,51,49.84084967320261
